"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 24 15:47:48 GMT 2025","Fri Jan 24 15:47:51 GMT 2025","2670","","the-internet selenium demo","","Hover test","","Hover test","  This website contains some common web elements for selenium demo"
"failed","Fri Jan 24 15:47:35 GMT 2025","Fri Jan 24 15:47:44 GMT 2025","9093","","the-internet selenium demo","","Drag and Drop test","","Drag and Drop test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 15:47:25 GMT 2025","Fri Jan 24 15:47:35 GMT 2025","10064","","Inventory Functionality","","Test if inventory is list as low to high","","Test if inventory is list as low to high",""
"passed","Fri Jan 24 15:47:43 GMT 2025","Fri Jan 24 15:47:48 GMT 2025","5810","","the-internet selenium demo","","Slider moving test","","Slider moving test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 15:46:54 GMT 2025","Fri Jan 24 15:46:59 GMT 2025","4578","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Fri Jan 24 15:46:59 GMT 2025","Fri Jan 24 15:47:05 GMT 2025","5593","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Fri Jan 24 15:47:46 GMT 2025","Fri Jan 24 15:47:50 GMT 2025","3704","","the-internet selenium demo","","Hover test","","Hover test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 15:47:40 GMT 2025","Fri Jan 24 15:47:48 GMT 2025","7370","","the-internet selenium demo","","add/remove elements: add","","add/remove elements: add","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 15:47:37 GMT 2025","Fri Jan 24 15:47:46 GMT 2025","9127","","the-internet selenium demo","","add/remove elements: delete","","add/remove elements: delete","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 15:47:41 GMT 2025","Fri Jan 24 15:47:48 GMT 2025","6824","","the-internet selenium demo","","Select option test","","Select option test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 15:47:50 GMT 2025","Fri Jan 24 15:47:51 GMT 2025","1881","","the-internet selenium demo","","Hover test","","Hover test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 15:47:28 GMT 2025","Fri Jan 24 15:47:47 GMT 2025","18882","","the-internet selenium demo","","Check checkbox function","","Check checkbox function","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 15:47:12 GMT 2025","Fri Jan 24 15:47:14 GMT 2025","2104","","Login Functionality","","password is empty","","password is empty",""
"passed","Fri Jan 24 15:47:05 GMT 2025","Fri Jan 24 15:47:12 GMT 2025","6287","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Fri Jan 24 15:46:54 GMT 2025","Fri Jan 24 15:46:59 GMT 2025","4421","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Fri Jan 24 15:47:04 GMT 2025","Fri Jan 24 15:47:10 GMT 2025","6066","","Login Functionality","","username is empty","","username is empty",""
"failed","Fri Jan 24 15:47:34 GMT 2025","Fri Jan 24 15:47:47 GMT 2025","12770","","the-internet selenium demo","","Check if all image loaded","","Check if all image loaded","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 15:47:05 GMT 2025","Fri Jan 24 15:47:12 GMT 2025","6205","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"failed","Fri Jan 24 15:47:28 GMT 2025","Fri Jan 24 15:47:39 GMT 2025","11468","","Inventory Functionality","","Test if all links are valid","","Test if all links are valid",""
"passed","Fri Jan 24 15:47:37 GMT 2025","Fri Jan 24 15:47:45 GMT 2025","8354","","the-internet selenium demo","","Check Context Menu","","Check Context Menu","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 15:47:09 GMT 2025","Fri Jan 24 15:47:13 GMT 2025","4130","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Fri Jan 24 15:47:11 GMT 2025","Fri Jan 24 15:47:14 GMT 2025","3110","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
