"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8967","wrong username and/or password","","2026-07-04","passed","2026-07-04","","Login Functionality","wrong username and/or password",""
"","10073","wrong username and/or password","","2026-07-04","passed","2026-07-04","","Login Functionality","wrong username and/or password",""
"","11673","password is empty","","2026-07-04","passed","2026-07-04","","Login Functionality","password is empty",""
"","10631","Successful Login","","2026-07-04","passed","2026-07-04","","Login Functionality","Successful Login",""
"","10793","wrong username and/or password","","2026-07-04","passed","2026-07-04","","Login Functionality","wrong username and/or password",""
"","10999","username is empty","","2026-07-04","passed","2026-07-04","","Login Functionality","username is empty",""
"","11597","Successful Login","","2026-07-04","passed","2026-07-04","","Login Functionality","Successful Login",""
"","11121","Successful Login","","2026-07-04","passed","2026-07-04","","Login Functionality","Successful Login",""
"","2891","Test if inventory is list as low to high","","2026-07-04","passed","2026-07-04","","Inventory Functionality","Test if inventory is list as low to high",""
"","11050","wrong username and/or password","","2026-07-04","passed","2026-07-04","","Login Functionality","wrong username and/or password",""
"","3216","Test if all links are valid","","2026-07-04","passed","2026-07-04","","Inventory Functionality","Test if all links are valid",""
